row,col,x,y,lst
1560,1386,632685.0,3333885.0,323.16864
1533,1348,631545.0,3334695.0,324.1906
1510,1378,632445.0,3335385.0,325.06564
1515,1363,631995.0,3335235.0,324.67938
1571,1398,633045.0,3333555.0,324.11884
276,1584,638625.0,3372405.0,324.77167
357,1581,638535.0,3369975.0,324.0163
320,1627,639915.0,3371085.0,320.8546
269,1564,638025.0,3372615.0,325.66037
313,1570,638205.0,3371295.0,323.9992
359,1574,638325.0,3369915.0,322.04068
361,1516,636585.0,3369855.0,323.59247
311,1584,638625.0,3371355.0,322.07486
289,1530,637005.0,3372015.0,322.73453
333,1589,638775.0,3370695.0,318.94394
250,1560,637905.0,3373185.0,322.1603
331,1565,638055.0,3370755.0,320.2975
277,1593,638895.0,3372375.0,324.38544
318,1555,637755.0,3371145.0,322.6525
316,1575,638355.0,3371205.0,324.14276
310,1562,637965.0,3371385.0,323.9616
1374,1641,640335.0,3339465.0,320.88538
1383,1606,639285.0,3339195.0,321.8732
1430,1640,640305.0,3337785.0,320.2804
1333,1601,639135.0,3340695.0,322.83707
1388,1656,640785.0,3339045.0,317.0162
1372,1603,639195.0,3339525.0,321.23062
22,1304,630225.0,3380025.0,317.05038
15,1301,630135.0,3380235.0,321.50406
41,1263,628995.0,3379455.0,324.18378
7,1295,629955.0,3380475.0,324.18378
13,1290,629805.0,3380295.0,323.14813
32,1264,629025.0,3379725.0,324.44012
86,1310,630405.0,3378105.0,319.05676
19,1290,629805.0,3380115.0,324.35126
85,1258,628845.0,3378135.0,324.13593
81,1285,629655.0,3378255.0,321.52457
57,1310,630405.0,3378975.0,323.07294
6,1341,631335.0,3380505.0,324.99042
14,1332,631065.0,3380265.0,324.61102
1420,1291,629835.0,3338085.0,326.29953
1361,1240,628305.0,3339855.0,323.62323
1407,1211,627435.0,3338475.0,325.24338
1423,1213,627495.0,3337995.0,326.7883
1414,1231,628035.0,3338265.0,318.60214
1408,1194,626925.0,3338445.0,315.8404
1376,1203,627195.0,3339405.0,327.15063
1455,1265,629055.0,3337035.0,321.14517
1449,1190,626805.0,3337215.0,325.06564
1385,1214,627525.0,3339135.0,328.4768
1388,1225,627855.0,3339045.0,324.6828
1430,1209,627375.0,3337785.0,326.98996
1477,1235,628155.0,3336375.0,322.36197
1413,1225,627855.0,3338295.0,317.61093
1418,1278,629445.0,3338145.0,322.81656
1414,1168,626145.0,3338265.0,321.76724
1429,1194,626925.0,3337815.0,322.94302
1437,1229,627975.0,3337575.0,324.95966
1467,1182,626565.0,3336675.0,325.70822
1504,1185,626655.0,3335565.0,322.15347
1509,1160,625905.0,3335415.0,328.26147
1517,1223,627795.0,3335175.0,322.77554
1584,1230,628005.0,3333165.0,322.1945
1526,1199,627075.0,3334905.0,325.7253
1573,1212,627465.0,3333495.0,324.29315
1484,1207,627315.0,3336165.0,322.3654
1536,1200,627105.0,3334605.0,324.23505
1526,1136,625185.0,3334905.0,322.96695
1533,1198,627045.0,3334695.0,323.52753
1524,1184,626625.0,3334965.0,326.66867
1551,1249,628575.0,3334155.0,323.18573
1502,1209,627375.0,3335625.0,321.7194
1547,1192,626865.0,3334275.0,324.21454
1561,1170,626205.0,3333855.0,323.05927
1524,1171,626235.0,3334965.0,325.6262
1490,1165,626055.0,3335985.0,322.96353
1518,1170,626205.0,3335145.0,324.46405
1497,1166,626085.0,3335775.0,328.15894
1547,1185,626655.0,3334275.0,324.1325
1515,1153,625695.0,3335235.0,321.99966
1510,1175,626355.0,3335385.0,323.9787
1499,1130,625005.0,3335715.0,318.66025
1555,1141,625335.0,3334035.0,319.31995
1560,1254,628725.0,3333885.0,321.8732
1521,1215,627555.0,3335055.0,323.68817
1530,1233,628095.0,3334785.0,318.8585
1619,1070,623205.0,3332115.0,323.2575
1639,983,620595.0,3331515.0,325.78342
1620,1037,622215.0,3332085.0,324.78534
1662,1000,621105.0,3330825.0,319.35754
