row,col,x,y,land surface temperature
585,1048,622545.0,3363135.0,329.8747863769531
903,167,596115.0,3353595.0,329.5534973144531
782,64,593025.0,3357225.0,328.558837890625
991,133,595095.0,3350955.0,328.640869140625
558,1057,622815.0,3363945.0,328.630615234375
1121,1624,639825.0,3347055.0,329.3689270019531
1541,1469,635175.0,3334455.0,328.876708984375
1096,1597,639015.0,3347805.0,328.815185546875
1580,479,605475.0,3333285.0,329.6184387207031
811,1187,626715.0,3356355.0,330.3157043457031
1530,1585,638655.0,3334785.0,329.3074035644531
1398,735,613155.0,3338745.0,328.271728515625
64,629,609975.0,3378765.0,329.9431457519531
498,1705,642255.0,3365745.0,326.8293151855469
1346,1242,628365.0,3340305.0,331.88458251953125
453,137,595215.0,3367095.0,325.03143310546875
1317,1321,630735.0,3341175.0,331.52227783203125
1673,432,604065.0,3330495.0,330.2473449707031
884,1108,624345.0,3354165.0,328.982666015625
1511,818,615645.0,3335355.0,329.5022277832031
223,1757,643815.0,3373995.0,328.169189453125
301,786,614685.0,3371655.0,331.0915832519531
222,1012,621465.0,3374025.0,329.5740051269531
119,420,603705.0,3377115.0,325.4894714355469
1228,928,618945.0,3343845.0,330.6472473144531
269,1383,632595.0,3372615.0,330.3738098144531
270,1561,637935.0,3372585.0,327.844482421875
164,1554,637725.0,3375765.0,327.410400390625
1527,242,598365.0,3334875.0,325.00067138671875
1174,432,604065.0,3345465.0,326.2756042480469
756,280,599505.0,3358005.0,327.868408203125
1329,1096,623985.0,3340815.0,329.2595520019531
1644,961,619935.0,3331365.0,328.493896484375
330,1377,632415.0,3370785.0,329.2766418457031
727,184,596625.0,3358875.0,327.970947265625
975,568,608145.0,3351435.0,328.220458984375
1509,1168,626145.0,3335415.0,328.791259765625
683,1073,623295.0,3360195.0,329.5329895019531
1340,994,620925.0,3340485.0,329.8132629394531
1424,64,593025.0,3337965.0,326.8840026855469
763,1089,623775.0,3357795.0,332.82110595703125
1064,1497,636015.0,3348765.0,328.815185546875
1356,1233,628095.0,3340005.0,331.68634033203125
14,1469,635175.0,3380265.0,328.042724609375
1330,1677,641415.0,3340785.0,328.548583984375
1228,346,601485.0,3343845.0,326.8361511230469
884,208,597345.0,3354165.0,326.7131042480469
344,1243,628395.0,3370365.0,329.047607421875
507,1465,635055.0,3365475.0,331.69659423828125
747,1077,623415.0,3358275.0,331.0779113769531
1346,1237,628215.0,3340305.0,331.46075439453125
1420,1084,623625.0,3338085.0,328.018798828125
165,1136,625185.0,3375735.0,329.3039855957031
1468,1681,641535.0,3336645.0,329.5945129394531
734,1164,626025.0,3358665.0,330.1789855957031
1383,171,596235.0,3339195.0,327.707763671875
1362,1478,635445.0,3339825.0,329.8747863769531
