row,col,x,y,land surface temperature,B2_blue,B3_green,B4_red,B5_NIR,B6_SWIR1,B7_SWIR2,B8_pan,B9_cirrus,NDVI,EVI,NDWI
1637,1406,633285.0,3331575.0,324.56658935546875,0.23897734,0.2099042,0.20089562,0.6240649,0.38332912,0.19469492,0.10512078,0.001244822,0.51295704,1.0200698,-0.49661398
143,1445,634455.0,3376395.0,316.90338134765625,0.22868182,0.18428239,0.1452647,0.63330746,0.19052209,0.06639089,0.07633427,0.0010892192,0.62684333,1.5448654,-0.5492058
164,1428,633945.0,3375765.0,323.95819091796875,0.2640727,0.21949774,0.19153604,0.5711834,0.21126914,0.10772895,0.09064972,0.0009780745,0.49775493,1.2828447,-0.44478822
176,1418,633645.0,3375405.0,322.4542541503906,0.331871,0.31818265,0.3371943,0.84202576,0.49845174,0.32865366,0.13219565,0.0015115696,0.42810622,0.9171023,-0.45150775
69,591,608835.0,3378615.0,322.7960510253906,0.31449732,0.3029734,0.31689572,0.654191,0.31258643,0.21583192,0.16198246,0.0011336772,0.34733796,0.70455647,-0.36693552
34,655,610755.0,3379665.0,321.6100158691406,0.33590734,0.32426634,0.34667084,0.7663303,0.47926465,0.30782863,0.1395979,0.0011559061,0.37705216,0.790587,-0.4053414
1450,356,601785.0,3337185.0,318.7115173339844,0.2634877,0.2508523,0.25611705,0.7076575,0.46682426,0.2757331,0.09300599,0.0012003641,0.46851254,0.8901193,-0.47657856
1499,282,599565.0,3335715.0,317.2828063964844,0.23827538,0.20013516,0.17076951,0.5088838,0.32303792,0.18256646,0.07111046,0.001267051,0.4974805,1.1324296,-0.4354589
1101,540,607305.0,3347655.0,322.4952697753906,0.22306608,0.18007058,0.13725059,0.57200235,0.18576431,0.0574213,0.086915255,0.0011336772,0.61297137,1.5043098,-0.52113533
1156,481,605535.0,3346005.0,323.18572998046875,0.2312557,0.20282602,0.1774967,0.59089696,0.28899252,0.13615863,0.096162505,0.001244822,0.5380058,1.121591,-0.48892492
1065,459,604875.0,3348735.0,316.75299072265625,0.20013516,0.15123142,0.09957833,0.47466287,0.15897258,0.059995174,0.070154615,0.001244822,0.6531829,1.6418839,-0.5167509
1095,527,606915.0,3347835.0,321.1383361816406,0.24628949,0.20703782,0.1906586,0.7392461,0.29659715,0.13865452,0.10103065,0.00128928,0.5899394,1.3237773,-0.56241924
1031,455,604755.0,3349755.0,318.3321228027344,0.21990722,0.17708723,0.13409173,0.54544455,0.2334201,0.108313926,0.08693748,0.0010669903,0.6053434,1.467669,-0.5098147
1142,1525,636855.0,3346425.0,327.885498046875,0.29513475,0.2811539,0.268226,0.6701608,0.36312807,0.21275108,0.1616935,0.0010669903,0.42832527,0.9426185,-0.40891504
1173,1462,634965.0,3345495.0,324.44696044921875,0.33561483,0.3474313,0.40820998,0.868408,0.7100949,0.53007925,0.1509569,0.0015560276,0.3604822,0.6389664,-0.4284914
1164,1513,636495.0,3345765.0,323.56512451171875,0.26612008,0.2483369,0.25126177,0.6585198,0.38106722,0.19325195,0.14444381,0.0011559061,0.44764376,0.8700683,-0.4523128
1244,1062,622965.0,3343365.0,324.15301513671875,0.30566424,0.26401418,0.2505598,0.43026346,0.18892317,0.09404059,0.099941425,0.00086692965,0.26395053,0.70071876,-0.23945647
1205,1089,623775.0,3344535.0,321.0152893066406,0.30578122,0.31566727,0.3557964,0.954399,0.57917804,0.32389587,0.14797822,0.0009780745,0.4568804,0.8333283,-0.5029121
1260,1041,622335.0,3342885.0,326.1423034667969,0.28255782,0.25038433,0.2551226,0.6500962,0.38297814,0.22144765,0.12997276,0.0010003034,0.43632942,0.9300951,-0.4438873
1502,68,593145.0,3335625.0,321.6647033691406,0.23856786,0.21499345,0.203411,0.72585016,0.364571,0.16595323,0.08291404,0.0020450647,0.5622092,1.1288102,-0.54297733
1452,173,596295.0,3337125.0,322.2389221191406,0.2545376,0.22868182,0.19878972,0.6488093,0.29410127,0.15234287,0.13432963,0.001267051,0.5309345,1.2064668,-0.47878262
1498,92,593865.0,3335745.0,321.2887268066406,0.22370955,0.19013213,0.17199795,0.63313204,0.36180213,0.16981405,0.11198953,0.0015337986,0.57274485,1.1676668,-0.53810173
1139,859,616875.0,3346515.0,320.4068603515625,0.2589834,0.21592942,0.17878366,0.6146469,0.2737832,0.14263234,0.10716584,0.0011114483,0.5493401,1.4626808,-0.4800492
1138,852,616665.0,3346545.0,316.03521728515625,0.22107719,0.17638525,0.13198583,0.5907215,0.24644549,0.10531107,0.06957666,0.0010447614,0.6347461,1.5828131,-0.5401285
1119,877,617415.0,3347115.0,318.8755798339844,0.23915285,0.19604035,0.15842658,0.5926519,0.21407701,0.1001243,0.08920483,0.0012003641,0.5781357,1.4482574,-0.5028724
1388,1605,639255.0,3339045.0,319.5045166015625,0.21429148,0.17720422,0.15608671,0.6778824,0.33816922,0.13740657,0.07568963,0.001244822,0.6256774,1.2951427,-0.5855292
1371,1631,640035.0,3339555.0,322.3688049316406,0.23634498,0.21610491,0.19598185,0.60850465,0.41546363,0.19434392,0.096029125,0.0010003034,0.51277775,1.019271,-0.47586122
1337,1617,639615.0,3340575.0,322.2218322753906,0.32251146,0.3689583,0.4696906,0.76545286,0.5392439,0.36554596,0.12999499,0.0008891586,0.2394558,0.34156466,-0.34951577
1449,700,612105.0,3337215.0,324.75457763671875,0.2612063,0.21955624,0.20036913,0.5245026,0.22577646,0.12832,0.101252936,0.0011559061,0.44715977,1.0555751,-0.4098417
1389,691,611835.0,3339015.0,322.5055236816406,0.25617555,0.2204922,0.22645894,0.60212845,0.32490984,0.18007058,0.096029125,0.0011336772,0.4533855,0.9034291,-0.46392742
1347,723,612795.0,3340275.0,321.5348205566406,0.23207468,0.18896216,0.1623459,0.5321657,0.23946482,0.11158978,0.078446016,0.0010892192,0.53248906,1.2074866,-0.47592607
512,985,620655.0,3365325.0,323.75994873046875,0.4634314,0.45530027,0.5085913,0.73766667,0.3749445,0.3470608,0.1519572,0.0011336772,0.18381055,0.43600887,-0.23669256
563,1093,623895.0,3363795.0,322.3824768066406,0.32356438,0.2636632,0.2376904,0.654191,0.36078817,0.18046057,0.2144206,0.0012003641,0.46699104,1.5931004,-0.42547914
1667,400,603105.0,3330675.0,326.6584167480469,0.25067678,0.21920526,0.2290913,0.5641052,0.471894,0.2675435,0.10227547,0.0014671116,0.42235932,0.79118913,-0.44031066
1624,454,604725.0,3331965.0,324.10858154296875,0.27694207,0.2617328,0.27337372,0.70022833,0.46783817,0.26894745,0.11256748,0.0014893407,0.43842822,0.844651,-0.45583498
1636,503,606195.0,3331605.0,325.00408935546875,0.256702,0.24043977,0.2591004,0.73263586,0.5000117,0.27791703,0.106988005,0.0011781352,0.47748122,0.8692085,-0.50581485
1232,687,611715.0,3343725.0,319.9317626953125,0.2844882,0.26038736,0.21119113,0.74907357,0.35099962,0.19118506,0.118413694,0.0011114483,0.5601398,1.5236447,-0.48410612
1169,686,611685.0,3345615.0,324.29998779296875,0.4402665,0.45389634,0.53134674,0.78955376,0.52052474,0.35704434,0.18470047,0.0012003641,0.19547804,0.38523751,-0.26994038
175,1511,636435.0,3375435.0,321.9244689941406,0.46138397,0.5240931,0.61868316,0.88496274,0.5551551,0.37810338,0.15935946,0.0011114483,0.17708929,0.31155735,-0.25610742
177,1603,639195.0,3375375.0,319.7130126953125,0.30817962,0.2956027,0.28559968,0.8173984,0.43059492,0.23825587,0.14308785,0.0011781352,0.48213926,1.0900649,-0.46881872
232,1513,636495.0,3373725.0,319.2276611328125,0.26471615,0.26962993,0.22037521,0.934159,0.45060098,0.20756431,0.10956657,0.0010447614,0.6182439,1.4039372,-0.5520313
787,1327,630915.0,3357075.0,320.1163330078125,0.25354317,0.24155122,0.19990116,0.94229007,0.37287763,0.15663268,0.12552696,0.0014448827,0.64996904,1.4966033,-0.5919196
768,1355,631755.0,3357645.0,320.5128173828125,0.28466374,0.30174494,0.28712058,0.94556594,0.45512477,0.22016071,0.13304035,0.0010669903,0.5341548,1.0735676,-0.5161672
695,231,598035.0,3359835.0,318.3663024902344,0.22920829,0.18475036,0.14169636,0.6600992,0.19173105,0.08117119,0.10151968,0.0013115089,0.6465523,1.6379957,-0.5626432
715,156,595785.0,3359235.0,318.1817321777344,0.23260114,0.19451942,0.1692486,0.5646317,0.32498786,0.17024305,0.08698194,0.0009558455,0.53875697,1.1829108,-0.48753443
717,288,599745.0,3359175.0,317.0367126464844,0.21382351,0.1734019,0.12783252,0.75843316,0.2761231,0.10297117,0.09267256,0.0010892192,0.7115255,1.7103317,-0.62782705
1643,1253,628695.0,3331395.0,328.982666015625,0.2764156,0.24769345,0.256936,0.52064174,0.46557626,0.27514815,0.110255666,0.0011781352,0.33913743,0.6665019,-0.35524637
1583,1256,628785.0,3333195.0,324.02655029296875,0.2330691,0.19510438,0.16889761,0.58270735,0.33551735,0.16217043,0.1102779,0.0013781958,0.5505681,1.2198505,-0.49832496
1638,1284,629625.0,3331545.0,329.3825988769531,0.28325978,0.2630782,0.30227137,0.5808354,0.5173659,0.29967803,0.1276165,0.0014671116,0.31543642,0.5483478,-0.3765281
956,1115,624555.0,3352005.0,323.02508544921875,0.27822903,0.24471007,0.22528897,0.5468485,0.23193817,0.14259332,0.10572096,0.0015337986,0.4164537,0.9901881,-0.3817006
947,1202,627165.0,3352275.0,321.7774963378906,0.3189431,0.2916249,0.26910344,0.65916324,0.32284293,0.18810421,0.09589575,0.0008891586,0.4202023,1.1059747,-0.38656175
964,1133,625095.0,3351765.0,322.1432189941406,0.41721854,0.40417364,0.42997095,0.7137998,0.4311409,0.29219037,0.31331727,0.0010892192,0.24815185,0.60934335,-0.27695304
178,1345,631455.0,3375345.0,322.6422424316406,0.28764707,0.2742512,0.28185585,0.7612995,0.4312189,0.22519147,0.11834701,0.0010447614,0.45960906,0.92550856,-0.4703278
114,1369,632175.0,3377265.0,320.1368408203125,0.36843184,0.3821202,0.4099649,0.7854004,0.4308679,0.28357178,0.11323435,0.0011114483,0.31407595,0.6333467,-0.34541595
196,1348,631545.0,3374805.0,324.80926513671875,0.28834903,0.27337372,0.25611705,0.7108164,0.31738317,0.17718472,0.11494598,0.0010003034,0.47024885,1.04779,-0.4444697
1449,1771,644235.0,3337215.0,325.2502136230469,0.30952507,0.34158158,0.38527903,0.87302935,0.5127251,0.30985656,0.17652021,0.0012225931,0.38762382,0.65442955,-0.4375457
1446,1736,643185.0,3337305.0,316.39752197265625,0.19422692,0.14848205,0.09080374,0.6417311,0.2379829,0.070524685,0.06786503,0.0008224717,0.7520835,1.8871211,-0.6241975
1439,1766,644085.0,3337515.0,319.4737548828125,0.26968843,0.24751794,0.25313368,0.7125128,0.4138647,0.23396608,0.08575935,0.0009558455,0.4757218,0.9501891,-0.48435414
