row,col,x,y,land surface temperature
1189,1391,632835.0,3345015.0,326.6925964355469
1220,1388,632745.0,3344085.0,326.0226745605469
1181,1348,631545.0,3345255.0,320.7862548828125
1448,1728,642945.0,3337245.0,320.9708251953125
1464,1716,642585.0,3336765.0,318.4414978027344
1454,1719,642675.0,3337065.0,330.8865051269531
1492,1748,643545.0,3335925.0,316.52398681640625
1502,1777,644415.0,3335625.0,315.61822509765625
1462,1724,642825.0,3336825.0,316.55816650390625
1556,751,613635.0,3334005.0,324.16668701171875
1477,811,615435.0,3336375.0,318.8960876464844
1525,779,614475.0,3334935.0,322.1808166503906
384,1276,629385.0,3369165.0,325.9030456542969
353,1247,628515.0,3370095.0,325.9030456542969
374,1301,630135.0,3369465.0,321.3775939941406
623,1053,622695.0,3361995.0,325.5236511230469
621,1061,622935.0,3362055.0,325.7184753417969
621,1066,623085.0,3362055.0,323.02508544921875
1248,1676,641385.0,3343245.0,318.9542236328125
1297,1698,642045.0,3341775.0,316.05572509765625
1257,1647,640515.0,3342975.0,321.0392150878906
190,715,612555.0,3374985.0,321.3297424316406
191,677,611415.0,3374955.0,320.3043212890625
172,735,613155.0,3375525.0,323.38055419921875
529,1136,625185.0,3364815.0,324.15643310546875
508,1170,626205.0,3365445.0,323.21990966796875
502,1141,625335.0,3365625.0,324.51873779296875
927,1179,626475.0,3352875.0,321.4869689941406
918,1160,625905.0,3353145.0,322.0987854003906
935,1139,625275.0,3352635.0,327.355712890625
1473,1517,636615.0,3336495.0,322.3619689941406
1387,1568,638145.0,3339075.0,323.03192138671875
1205,1036,622185.0,3344535.0,322.2867736816406
1131,1082,623565.0,3346755.0,320.1060791015625
1104,461,604935.0,3347565.0,318.1065368652344
1105,474,605325.0,3347535.0,315.76861572265625
1366,1011,621435.0,3339705.0,314.4629211425781
1460,1063,622995.0,3336885.0,322.9156799316406
1456,1076,623385.0,3337005.0,316.59234619140625
945,1236,628185.0,3352335.0,312.79150390625
964,1222,627765.0,3351765.0,325.6296081542969
868,1189,626775.0,3354645.0,321.1998596191406
420,48,592545.0,3368085.0,318.9405212402344
371,1519,636675.0,3369555.0,324.49822998046875
366,1516,636585.0,3369705.0,324.08123779296875
357,1486,635685.0,3369975.0,324.67596435546875
976,1268,629145.0,3351405.0,313.1196594238281
909,1311,630435.0,3353415.0,319.2105712890625
970,1262,628965.0,3351585.0,320.3043212890625
303,1213,627495.0,3371595.0,321.1383361816406
310,1209,627375.0,3371385.0,318.0039978027344
280,1188,626745.0,3372285.0,327.786376953125
1495,67,593115.0,3335835.0,319.8770751953125
1602,27,591915.0,3332625.0,321.4391174316406
1524,61,592935.0,3334965.0,319.1627197265625
1357,1429,633975.0,3339975.0,326.4601745605469
1349,1450,634605.0,3340215.0,324.49822998046875
1328,1474,635325.0,3340845.0,322.7892150878906
1628,402,603165.0,3331845.0,320.9537353515625
1615,474,605325.0,3332235.0,321.4835510253906
655,1567,638115.0,3361035.0,317.5630798339844
535,1605,639255.0,3364635.0,318.7388610839844
647,1665,641055.0,3361275.0,326.2345886230469
1485,1251,628635.0,3336135.0,321.9107971191406
1464,1213,627495.0,3336765.0,325.5851745605469
704,1220,627705.0,3359565.0,323.52410888671875
683,1197,627015.0,3360195.0,321.7125549316406
710,1155,625755.0,3359385.0,320.9639892578125
851,1549,637575.0,3355155.0,317.2725524902344
778,1572,638265.0,3357345.0,322.3551330566406
785,1636,640185.0,3357135.0,312.8838195800781
1596,256,598785.0,3332805.0,321.8390197753906
1581,327,600915.0,3333255.0,321.6920471191406
1493,245,598455.0,3335895.0,319.6070556640625
225,824,615825.0,3373935.0,324.81951904296875
192,785,614655.0,3374925.0,323.37371826171875
234,804,615225.0,3373665.0,323.57537841796875
1603,1549,637575.0,3332595.0,323.46258544921875
1605,1553,637695.0,3332535.0,319.7403564453125
1618,482,605565.0,3332145.0,319.9317626953125
1066,1656,640785.0,3348705.0,321.8492736816406
1032,1584,638625.0,3349725.0,311.53369140625
1094,1618,639645.0,3347865.0,324.77166748046875
1307,1133,625095.0,3341475.0,324.47088623046875
1234,1106,624285.0,3343665.0,321.1349182128906
1272,1113,624495.0,3342525.0,322.8575744628906
711,978,620445.0,3359355.0,322.6900939941406
777,973,620295.0,3357375.0,319.1524658203125
720,1024,621825.0,3359085.0,327.943603515625
1595,580,608505.0,3332835.0,320.4957275390625
1597,600,609105.0,3332775.0,320.7589111328125
1568,534,607125.0,3333645.0,315.31060791015625
305,1579,638475.0,3371535.0,319.5079345703125
294,1602,639165.0,3371865.0,319.5113525390625
252,1578,638445.0,3373125.0,321.3981018066406
1530,1510,636405.0,3334785.0,324.95623779296875
1527,1540,637305.0,3334875.0,323.44207763671875
1510,1473,635295.0,3335385.0,321.2135314941406
182,1193,626895.0,3375225.0,323.32928466796875
268,1256,628785.0,3372645.0,323.70184326171875
258,1205,627255.0,3372945.0,323.61981201171875
